"Start Date","End Date","Headline","Text","Media","Media Credit","Media Caption","Media Thumbnail"
"1/1/1200 0:00:00","1/1/1200 0:00:00","Digital image of the original in: The Hague, Koninklijke Bibliotheek, 76 F 5.","","http://jnul.huji.ac.il/dl/maps/jer/images/jer424/Jer424_b.jpg","National Library of Israel","Psalter fragment","http://jnul.huji.ac.il/dl/maps/jer/images/jer424/Jer424_ts.jpg"
"1/1/1493 0:00:00","1/1/1493 0:00:00","An imaginary view of the destruction of Jerusalem. Shows the Temple ablaze.","The map is the same as in the first Latin edition, except added title in German.
From: Schedel, Hartmann. Liber chronicarum. German. Nuernberg. Anton Koberger, 1493. Fol.LXIIII. The illustrations and the maps are cut in wood by Michael Wolgemut","http://jnul.huji.ac.il/dl/maps/jer/images/jer001a/jer001a_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer001a/Jer001a_ts.jpg"
"1/1/1550 0:00:00","1/1/1550 0:00:00","View","From: Muenster, Sebastian. Cosmographia universalis, Basel, Henricus Petri, 1550, p.1015-1018
At the bottom text partly related to this view and partly about Jericho. On the first verso there are 11 lines of Hebrew text in praise of Jerusalem entitled: ""Civitas Iervsale......"" On the second verso an imaginary view of Acco in text
The place names on the map are in German. The title and the descriptive text are in Latin","http://jnul.huji.ac.il/dl/maps/jer/images/jer016/Jer016_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer016/Jer016_ts.jpg"
"1/1/1563 0:00:00","1/1/1563 0:00:00","An imaginary plan","From: Reissner, Adam. Jerusalem, die alte Haubtstat der Jueden. Franckfurt am Main, 1563. The map is included twice in the book: In pt. 1, B iiii, between folio IX and X, and in pt. 2, H ii, between folio XXXIX and XL.","http://jnul.huji.ac.il/dl/maps/jer/images/jer021/Jer021_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer021/Jer021_ts.jpg"
"1/1/1570 0:00:00","1/1/1570 0:00:00","On the map mistakenly the orientation is reversed","View of modern Jerusalem seen from the east","http://jnul.huji.ac.il/dl/maps/jer/images/jer105/Jer105_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer105/Jer105_ts.jpg"
"1/1/1575 0:00:00","1/1/1575 0:00:00","The map is an exact copy of Braun-Hogenberg's plan of Jeruslame after De Jode-Laicstein","Two plans on the same sheet: On the left ""Description de la CitÃ© de Ierusalem..."" and on the right ""Nouuelle description de la CitÃ© de Ierusalem...""
From: Belleforest, FranÃ§ois de. Histoire universelle du monde. Paris, 1575.","http://jnul.huji.ac.il/dl/maps/jer/images/jer103/Jer103_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer103/Jer103_ts.jpg"
"1/1/1587 0:00:00","1/1/1587 0:00:00","View","From: Zuallardo, Giovanni. Il Devotissimo viaggio di Gerusalemme... Roma, F. Zanetti & Gia. Ruffinelli, 1587, p.152
At bottom index in Italian","http://jnul.huji.ac.il/dl/maps/jer/images/jer145/Jer145_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer145/Jer145_ts.jpg"
"1/1/1590 0:00:00","1/1/1590 0:00:00","Some of the upper part and left part of the sheet wanting.","Part of a large sheet which shows on the left upper part the holy places ""Gerusalemme Antiqua et Luoghi Santi"", on the right map of the Holy Land.
View","http://jnul.huji.ac.il/dl/maps/jer/images/jer284/Jer284_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer284/Jer284_ts.jpg"
"1/1/1600 0:00:00","1/1/1600 0:00:00","Imaginary view","Drawn after Villalpando's plan of Jerusalem, end of the 17th century","http://jnul.huji.ac.il/dl/maps/jer/images/jer111/Jer111_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer111/Jer111_ts.jpg"
"1/1/1580 0:00:00","1/1/1580 0:00:00","An imaginary plan","Published at the end of the 16th century. Probably drawn after the Geneva Bible, 1560, for the understanding of the III Chapter of Nehemia's Book","http://jnul.huji.ac.il/dl/maps/jer/images/jer031/Jer031_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer031/Jer031_ts.jpg"
"1/1/1619 0:00:00","1/1/1619 0:00:00","Plan","From: Cotovicus, Joannes. Itinerarium Hierosolymitanum. Antwerp. 1619. p.318
Drawn after Zuallardo
At the bottom anf on the next page explanatory legend: ""Portae Vrbis Hierosolymae loca sacratiora & Celebriora"", i.e. the gates of Jerusalem and the holy and famous places.","http://jnul.huji.ac.il/dl/maps/jer/images/jer234a/Jer234a_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer234a/Jer234a_ts.jpg"
"1/1/1624 0:00:00","1/1/1624 0:00:00","A reduced plan of Jerusalem after Villalpando","","http://jnul.huji.ac.il/dl/maps/jer/images/jer383/Jer383_b.jpg","National Library of Israel","Legend","http://jnul.huji.ac.il/dl/maps/jer/images/jer383/Jer383_ts.jpg"
"1/1/1630 0:00:00","1/1/1630 0:00:00","An imaginary plan","","http://jnul.huji.ac.il/dl/maps/jer/images/jer037/Jer037_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer037/Jer037_ts.jpg"
"1/1/1645 0:00:00","1/1/1645 0:00:00","Plan","From a Dutch Bible. Den Haag, 1646. ""Dese Kaerte wert gestelt voor het 3 Cap. Nehemia"".
At bottom centre a fishing boy is added. Without text on verso.","http://jnul.huji.ac.il/dl/maps/jer/images/jer034/Jer034_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer034/Jer034_ts.jpg"
"1/1/1650 0:00:00","1/1/1650 0:00:00","From: Fuller, Thomas. A Pisgah-sight of Palestine... London: Jhon Williams, 1650. After p.404.","Dedication signed
Plan","http://jnul.huji.ac.il/dl/maps/jer/images/jer166/Jer166_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer166/Jer166_ts.jpg"
"1/1/1657 0:00:00","1/1/1657 0:00:00","Three views on the same plate. At the top a bird's eye view of modern Jerusalem seen from the east. 211x472 mm.; underneath two small views of Nazareth and Ramleh 138 x232 mm. each.","Latin text on both sides of verso, describing Jerusalem, Nazareth and Ramleh.
From: Jansson, Jan. Illustriorum Hispaniae urbium tabulae. Amsterdam, 1657. Part II, Folio D.
Drawn after Reuwich-Breydenbach with some changes.","http://jnul.huji.ac.il/dl/maps/jer/images/jer051/Jer051_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer051/Jer051_ts.jpg"
"1/1/1661 0:00:00","1/1/1661 0:00:00","View","From: Zwinner, Electus. Blumen Buch des Heiligen Lands Palestinae. Muenchen, Wilhelm Schell, 1661. Fol.86. (p.80)","http://jnul.huji.ac.il/dl/maps/jer/images/jer132/Jer132_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer132/Jer132_ts.jpg"
"1/1/1664 0:00:00","1/1/1664 0:00:00","Index at the bottom of the page","View
Drawn after Zuallart, Jean
Legend above the map ""Ierusalen como se vÃ, y descubre quando van los peregrinos 'azia el Mediodia""","http://jnul.huji.ac.il/dl/maps/jer/images/jer393/Jer393_b.jpg","National Library of Israel","From: Castillo, Antonio ""El devoto peregrino..."", 1664, p. 148","http://jnul.huji.ac.il/dl/maps/jer/images/jer393/Jer393_ts.jpg"
"1/1/1670 0:00:00","1/1/1670 0:00:00","From: Bianco, Noe. Viaggio da Venetia al Santo Sepolcro... Venetia, Michiel Miloco, 1670. Within text.","View","http://jnul.huji.ac.il/dl/maps/jer/images/jer127/Jer127_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer127/Jer127_ts.jpg"
"1/1/1675 0:00:00","1/1/1675 0:00:00","From: Bianco, Noe. Viaggio da Venetia al Santo Sepolcro... Bassano, Giovanni Antonio Remondini, 1675. Within text.","The same woodcut printed twice. On pages 31 with title above view ""Gierusalem"" and 34 with title ""La citta di Gierusalem"".","http://jnul.huji.ac.il/dl/maps/jer/images/jer223/Jer223_b.jpg","National Library of Israel","Woodcut","http://jnul.huji.ac.il/dl/maps/jer/images/jer223/Jer223_ts.jpg"
"1/1/1685 0:00:00","1/1/1685 0:00:00","Exactly the same as Blome's Ierusalem 168-, but ommiting dedication, the engraver's name and the imprint","An imaginary plan","http://jnul.huji.ac.il/dl/maps/jer/images/jer116/Jer116_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer116/Jer116_ts.jpg"
"1/1/1684 0:00:00","1/1/1684 0:00:00","View","Drawn after Braun-Hogenberg","http://jnul.huji.ac.il/dl/maps/jer/images/jer108/Jer108_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer108/Jer108_ts.jpg"
"1/1/1689 0:00:00","1/1/1689 0:00:00","Drawn after Villalpando","An imaginary plan","http://jnul.huji.ac.il/dl/maps/jer/images/jer115/Jer115_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer115/Jer115_ts.jpg"
"1/1/1700 0:00:00","1/1/1700 0:00:00","View","Date added (ms.): ""Anno 1723"".
Drawn after Merian and published ca.1700.","http://jnul.huji.ac.il/dl/maps/jer/images/jer181/Jer181_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer181/Jer181_ts.jpg"
"1/1/1700 0:00:00","1/1/1700 0:00:00","An imaginary plan of ancient Jerusalem, drawn after Villalpandus","On the same page an imaginary plan of the Temple of Solomon, with part of the city in the background","http://jnul.huji.ac.il/dl/maps/jer/images/jer391/Jer391_b.jpg","National Library of Israel","From: Martin David Historie des Ouden en Nieuwen Testaments, 1700, vol.1, [plate] 97,between pp.192 and 193","http://jnul.huji.ac.il/dl/maps/jer/images/jer391/Jer391_ts.jpg"
"1/1/1710 0:00:00","1/1/1710 0:00:00","Digital image of the original in: Swedish military archives.","","http://jnul.huji.ac.il/dl/maps/jer/images/jer421/Jer421_b.jpg","National Library of Israel","Index on left and right margins","http://jnul.huji.ac.il/dl/maps/jer/images/jer421/Jer421_ts.jpg"
"1/1/1715 0:00:00","1/1/1715 0:00:00","In: Two journeys to Jerusalem. London, 1715? p.68.","","http://jnul.huji.ac.il/dl/maps/jer/images/jer222a/jer222a_b.jpg","National Library of Israel","","http://jnul.huji.ac.il/dl/maps/jer/images/jer222a/Jer222a_ts.jpg"
"1/1/1717 0:00:00","1/1/1717 0:00:00","From: Halma, Franciscus, Kanaan, Leeuwarden, 1717. p.172","View
The view is drawn after Dapper-Amico's view on a reduced scale","http://jnul.huji.ac.il/dl/maps/jer/images/jer226/Jer226_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer226/Jer226_ts.jpg"
"1/1/1720 0:00:00","1/1/1720 0:00:00","View","Published at the beginning of 18th century
Legengs both in Latin and German at the bottom
Probably drawn after Merian on an enlarged scale","http://jnul.huji.ac.il/dl/maps/jer/images/jer068/Jer068_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer068/Jer068_ts.jpg"
"1/1/1726 0:00:00","1/1/1726 0:00:00","An imaginary plan","From: Calmet, Augustin Antoine. Dictionarium historicum...Sacrae Scripturae, Venezia, Sebastian Coleti, 1726. Vol I, p.397.","http://jnul.huji.ac.il/dl/maps/jer/images/jer117/Jer117_b.jpg","National Library of Israel","Copperplate","http://jnul.huji.ac.il/dl/maps/jer/images/jer117/Jer117_ts.jpg"
